State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
ID,Idaho,6/1/20,Y,P,N,8854,,,,8854,,8801,,376,,9177,,181363,,340742,,42.0046,-93.214,"(42.0046, -93.214)",314253,,26489,
DE,Delaware,6/1/20,Y,P,N,2930,,N/A,,2930,,2698,,138,,2836,,107818,,239009,,38.8964,-77.0262,"(38.8964, -77.0262)",227794,,11215,
WY,Wyoming,6/1/20,N,P,N,1449,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1449,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,713,,22,,735,,39312,,59302,,44.0407,-72.7093,"(44.0407, -72.7093)",54911,,4391,
DC,District of Columbia,6/1/20,Y,P,N,2419,Includes SBM data,1711,,4130,Includes Renewals and/or Redeterminations,2651,Includes Renewals and/or Redeterminations; Includes CHIP,,,2651,,,,248591,,41.5834,-72.7622,"(41.5834, -72.7622)",231342,,17249,
WI,Wisconsin,6/1/20,N,P,N,18833,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,18833,Does Not Include All Applications for Limited-Benefit Programs,16148,"Count is of Households, Not Individuals",1151,,17299,,525881,,1112844,,37.768,-78.2057,"(37.768, -78.2057)",1045236,,67608,
NV,Nevada,6/1/20,Y,P,N,14953,Includes Renewals and/or Redeterminations,N/A,,14953,Includes Renewals and/or Redeterminations,8193,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",23,,8216,,313466,,685073,,40.314,-74.5089,"(40.314, -74.5089)",644995,,40078,
KS,Kansas,6/1/20,N,P,N,,,N/A,,,,,,,,,,279178,,401103,,39.8647,-86.2604,"(39.8647, -86.2604)",337580,,63523,
NY,New York,6/1/20,Y,P,N,,,643760,Includes Renewals and/or Redeterminations,643760,Includes Renewals and/or Redeterminations,123691,Includes Renewals and/or Redeterminations,9271,Includes Renewals and/or Redeterminations,132962,Includes Renewals and/or Redeterminations,2440866,Includes Retroactive Enrollments,6263164,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5648681,Includes Retroactive Enrollments,614483,
FL,Florida,6/1/20,N,P,N,253509,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,253509,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,159343,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,9595,,168938,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2554779,,3892552,,39.3498,-75.5148,"(39.3498, -75.5148)",3673324,,219228,
MT,Montana,6/1/20,Y,P,N,3267,,N/A,,3267,,3009,,294,,3303,,111952,,247333,,14.8058,145.5505,"(14.8058, 145.5505)",222241,,25092,
NH,New Hampshire,6/1/20,Y,P,N,3465,,N/A,,3465,,2694,,249,,2943,,92797,,193436,,47.5362,-99.793,"(47.5362, -99.793)",179122,,14314,
AK,Alaska,6/1/20,Y,P,N,2844,Includes Renewals and/or Redeterminations,N/A,,2844,Includes Renewals and/or Redeterminations,3238,Includes Renewals and/or Redeterminations; Includes CHIP,231,,3469,Includes Renewals and/or Redeterminations,98484,,231145,,61.385,-152.2683,"(61.385, -152.2683)",216568,,14577,
IN,Indiana,6/1/20,Y,P,N,57835,,N/A,,57835,,40707,,2749,,43456,,836741,,1602976,,40.3363,-89.0022,"(40.3363, -89.0022)",1489935,,113041,
HI,Hawaii,6/1/20,Y,P,N,6100,,N/A,,6100,,3905,,107,,4012,,145369,,351337,,32.9866,-83.6487,"(32.9866, -83.6487)",326342,,24995,
NE,Nebraska,6/1/20,N,P,N,5231,,N/A,,5231,,3637,,628,,4265,,167929,,254159,,35.6411,-79.8431,"(35.6411, -79.8431)",220563,,33596,
SC,South Carolina,6/1/20,N,P,N,17768,,N/A,,17768,,5574,Does Not Include All Medicaid Determinations Made At Application,197,Does Not Include All CHIP Determinations Made At Application,5771,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652537,,1048276,,40.5773,-77.264,"(40.5773, -77.264)",952446,,95830,
IL,Illinois,6/1/20,Y,P,N,62306,,N/A,,62306,,,,,,,,1378197,,2987496,,44.2394,-114.5103,"(44.2394, -114.5103)",2698347,,289149,
AL,Alabama,6/1/20,N,P,N,9334,,N/A,,9334,,10274,,1372,,11646,,675131,,957116,,32.799,-86.8073,"(32.799, -86.8073)",782240,,174876,
SD,South Dakota,6/1/20,N,P,N,2130,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2130,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,959,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",959,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",80850,,114059,,18.2766,-66.335,"(18.2766, -66.335)",98440,,15619,
AZ,Arizona,6/1/20,Y,P,N,66374,,N/A,,66374,,,,,,,,,,1839932,,14.2417,-170.7197,"(14.2417, -170.7197)",1735141,,104791,
PA,Pennsylvania,6/1/20,Y,P,N,54313,Includes Renewals and/or Redeterminations,N/A,,54313,Includes Renewals and/or Redeterminations,58910,Includes Renewals and/or Redeterminations,3359,,62269,Includes Renewals and/or Redeterminations,1428142,,3069309,,35.5376,-96.9247,"(35.5376, -96.9247)",2884467,,184842,
MD,Maryland,6/1/20,Y,P,N,4448,,72988,Includes Renewals and/or Redeterminations,77436,Includes Renewals and/or Redeterminations,31380,Includes Renewals and/or Redeterminations,1586,Includes Renewals and/or Redeterminations,32966,Includes Renewals and/or Redeterminations,633440,,1372695,,42.2373,-71.5314,"(42.2373, -71.5314)",1230457,,142238,
MS,Mississippi,6/1/20,N,P,N,15606,,N/A,,15606,,8569,,404,,8973,,429252,,632427,,38.4623,-92.302,"(38.4623, -92.302)",551973,,80454,
WV,West Virginia,6/1/20,Y,P,N,11020,,N/A,,11020,,6378,,279,,6657,,216083,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),521290,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",487520,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33770,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
KY,Kentucky,6/1/20,Y,P,N,44884,,,,44884,,10945,,935,,11880,,572607,,1416013,,38.5111,-96.8005,"(38.5111, -96.8005)",1329110,,86903,
OH,Ohio,6/1/20,Y,P,N,58892,Includes Renewals and/or Redeterminations,N/A,,58892,Includes Renewals and/or Redeterminations,44381,Includes CHIP; Includes Renewals and/or Redeterminations,2370,,46751,Includes Renewals and/or Redeterminations,1209081,,2788134,,38.4199,-117.1219,"(38.4199, -117.1219)",2593402,,194732,
OR,Oregon,6/1/20,Y,P,N,9943,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,9943,Does Not Include All Non-MAGI Applications,15022,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",912,,15934,Does Not Include All Non-MAGI Determinations Made At Application,428089,,1053931,,40.3736,-82.7755,"(40.3736, -82.7755)",923362,,130569,
TX,Texas,6/1/20,N,P,N,108192,,N/A,,108192,,53002,,8870,,61872,,3492784,,4457644,,33.8191,-80.9066,"(33.8191, -80.9066)",3871704,,585940,
UT,Utah,6/1/20,N,P,N,17493,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17493,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39500,Includes CHIP,,,39500,,195080,,338812,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",297992,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,40820,
IA,Iowa,6/1/20,Y,P,N,9992,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,9992,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,9656,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,1544,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,11200,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,344777,,699741,,21.1098,-157.5311,"(21.1098, -157.5311)",618776,,80965,
NJ,New Jersey,6/1/20,Y,P,N,34023,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,34023,Does Not Include All Non-MAGI Applications,20006,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,3546,,23552,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,832680,,1759653,,41.1289,-98.2883,"(41.1289, -98.2883)",1520316,,239337,
MA,Massachusetts,6/1/20,Y,P,N,8093,,3330,,11423,,8423,,787,,9210,,680703,,1616404,,31.1801,-91.8749,"(31.1801, -91.8749)",1428659,,187745,
